,molecule_smi,smiles_token,smiles_attention,smarts_tox,tox_location,atom_tox_att,non_tox_location,atom_non_tox_att,att_bond
61,CCCC[C@@]1(C2CCCC2)Cc2cc(OCC(O)=O)c(Cl)c(Cl)c2C1=O,"['C', 'C', 'C', 'C', '[C@@]', '1', '(', 'C', '2', 'C', 'C', 'C', 'C', '2', ')', 'C', 'c', '2', 'c', 'c', '(', 'O', 'C', 'C', '(', 'O', ')', '=', 'O', ')', 'c', '(', 'Cl', ')', 'c', '(', 'Cl', ')', 'c', '2', 'C', '1', '=', 'O']","[0.006715893279761076, 0.009698553942143917, 0.006861539091914892, 0.008412427268922329, 0.016159066930413246, 0.009145447053015232, 0.009394627995789051, 0.011891726404428482, 0.033053793013095856, 0.01846069097518921, 0.011965488083660603, 0.011843127198517323, 0.014153413474559784, 0.032292239367961884, 0.01676480658352375, 0.008284748531877995, 0.020838061347603798, 0.036348361521959305, 0.016080955043435097, 0.005283222999423742, 0.009930557571351528, 0.00511591974645853, 0.009369345381855965, 0.020325763151049614, 0.008921443484723568, 0.028486201539635658, 0.008033701218664646, 0.02561727911233902, 0.009762671776115894, 0.013532161712646484, 0.005815088748931885, 0.008594567887485027, 0.009000268764793873, 0.010010004974901676, 0.012563955970108509, 0.007744146045297384, 0.011479704640805721, 0.009565469808876514, 0.009205237030982971, 0.02014523558318615, 0.014019887894392014, 0.017351996153593063, 0.009032259695231915, 0.008263719268143177]","['c12c(-,:cccc1)-[#6]-[#6]-[#6]-2', '[#6]-[#6]-[#6]-[#6]-[#6]-c1ccc(-,:cc1)-[#8]-[#6]']","(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19, 21, 23, 24)","[0.009698553942143917, 0.006861539091914892, 0.008412427268922329, 0.016159066930413246, 0.011891726404428482, 0.01846069097518921, 0.011965488083660603, 0.011843127198517323, 0.014153413474559784, 0.008284748531877995, 0.020838061347603798, 0.016080955043435097, 0.005283222999423742, 0.00511591974645853, 0.009369345381855965, 0.005815088748931885, 0.012563955970108509, 0.009205237030982971, 0.014019887894392014]","(0, 16, 17, 18, 20, 22, 25)","[0.006715893279761076, 0.020325763151049614, 0.028486201539635658, 0.009762671776115894, 0.009000268764793873, 0.011479704640805721, 0.008263719268143177]","[0.011891726404428482, 0.01846069097518921, 0.011843127198517323, 0.005283222999423742, 0.00511591974645853, 0.028486201539635658, 0.009000268764793873, 0.014019887894392014]"
62,C[C@]12CCC3C(CC[C@H]4C[C@H](O)CC[C@]34C)C1CC[C@@H]2C(=O)CO,"['C', '[C@]', '1', '2', 'C', 'C', 'C', '3', 'C', '(', 'C', 'C', '[C@H]', '4', 'C', '[C@H]', '(', 'O', ')', 'C', 'C', '[C@]', '3', '4', 'C', ')', 'C', '1', 'C', 'C', '[C@@H]', '2', 'C', '(', '=', 'O', ')', 'C', 'O']","[0.006388562265783548, 0.029483802616596222, 0.02116992324590683, 0.0321989580988884, 0.013895762152969837, 0.009879261255264282, 0.009742713533341885, 0.025356771424412727, 0.005994283128529787, 0.006712773349136114, 0.006530416663736105, 0.011542177759110928, 0.024361299350857735, 0.006079014856368303, 0.006662279833108187, 0.011571831069886684, 0.008024278096854687, 0.015222788788378239, 0.007813355885446072, 0.012904435396194458, 0.0200852882117033, 0.017828641459345818, 0.018180018290877342, 0.01708477921783924, 0.006019971799105406, 0.007243824657052755, 0.006584612652659416, 0.00764203816652298, 0.019633112475275993, 0.010856177657842636, 0.018177928403019905, 0.034323547035455704, 0.01045126561075449, 0.018984908238053322, 0.007317550480365753, 0.012038938701152802, 0.00794427003711462, 0.008561857976019382, 0.0250349473208189]",[#6]1-[#6]-[#6]-[#6]2-[#6](-[#6]-1)-[#6]1-[#6](-[#6]3-[#6](-[#6]-[#6]-1)-[#6]-[#6]-[#6]-3)-[#6]-[#6]-2,"(12, 10, 9, 8, 14, 13, 4, 5, 16, 1, 2, 3, 19, 18, 17, 6, 7)","[0.029483802616596222, 0.013895762152969837, 0.009879261255264282, 0.009742713533341885, 0.005994283128529787, 0.006530416663736105, 0.011542177759110928, 0.024361299350857735, 0.006662279833108187, 0.011571831069886684, 0.012904435396194458, 0.0200852882117033, 0.017828641459345818, 0.006584612652659416, 0.019633112475275993, 0.010856177657842636, 0.018177928403019905]","(0, 11, 15, 20, 21, 22, 23)","[0.006388562265783548, 0.015222788788378239, 0.006019971799105406, 0.01045126561075449, 0.012038938701152802, 0.008561857976019382, 0.0250349473208189]","[0.02116992324590683, 0.0321989580988884, 0.025356771424412727, 0.006712773349136114, 0.006079014856368303, 0.008024278096854687, 0.007813355885446072, 0.018180018290877342, 0.01708477921783924, 0.007243824657052755, 0.00764203816652298, 0.034323547035455704, 0.018984908238053322, 0.007317550480365753, 0.00794427003711462]"
63,NC(=C(C#N)C#N)/C(C#N)=C/c1ccc(O)cc1,"['N', 'C', '(', '=', 'C', '(', 'C', '#', 'N', ')', 'C', '#', 'N', ')', '/', 'C', '(', 'C', '#', 'N', ')', '=', 'C', '/', 'c', '1', 'c', 'c', 'c', '(', 'O', ')', 'c', 'c', '1']","[0.014425813220441341, 0.007660594303160906, 0.012020551599562168, 0.009425145573914051, 0.008443447761237621, 0.03780967742204666, 0.014294433407485485, 0.014075045473873615, 0.014624184928834438, 0.010097520425915718, 0.01014520600438118, 0.03753294050693512, 0.014743354171514511, 0.008805133402347565, 0.009582633152604103, 0.011432620696723461, 0.018978295847773552, 0.007828596979379654, 0.016863510012626648, 0.013455312699079514, 0.01045529916882515, 0.019722232595086098, 0.011396125890314579, 0.053777847439050674, 0.015383540652692318, 0.012773249298334122, 0.005354585591703653, 0.009690855629742146, 0.008778015151619911, 0.019750799983739853, 0.02270914800465107, 0.016030127182602882, 0.02274918556213379, 0.008301547728478909, 0.008937033824622631]",C=CC#[N&X1],"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","[0.007660594303160906, 0.008443447761237621, 0.014294433407485485, 0.014624184928834438, 0.01014520600438118, 0.014743354171514511, 0.011432620696723461, 0.007828596979379654, 0.013455312699079514, 0.011396125890314579]","(0, 11, 12, 13, 14, 15, 16, 17)","[0.014425813220441341, 0.015383540652692318, 0.005354585591703653, 0.009690855629742146, 0.008778015151619911, 0.02270914800465107, 0.02274918556213379, 0.008301547728478909]","[0.012020551599562168, 0.009425145573914051, 0.03780967742204666, 0.014075045473873615, 0.010097520425915718, 0.03753294050693512, 0.008805133402347565, 0.009582633152604103, 0.018978295847773552, 0.016863510012626648, 0.01045529916882515, 0.019722232595086098, 0.053777847439050674, 0.012773249298334122, 0.019750799983739853, 0.016030127182602882, 0.008937033824622631]"
64,Oc1ccc(/C=C(\C#N)C(=O)NCCCNC(=O)/C(=C/c2cc(O)c(O)cc2)C#N)cc1O,"['O', 'c', '1', 'c', 'c', 'c', '(', '/', 'C', '=', 'C', '(', '\\', 'C', '#', 'N', ')', 'C', '(', '=', 'O', ')', 'N', 'C', 'C', 'C', 'N', 'C', '(', '=', 'O', ')', '/', 'C', '(', '=', 'C', '/', 'c', '2', 'c', 'c', '(', 'O', ')', 'c', '(', 'O', ')', 'c', 'c', '2', ')', 'C', '#', 'N', ')', 'c', 'c', '1', 'O']","[0.005410277750343084, 0.014618190936744213, 0.006698533892631531, 0.004018756095319986, 0.005099120084196329, 0.004296069499105215, 0.008157939650118351, 0.00427384814247489, 0.017623187974095345, 0.024044767022132874, 0.004043071996420622, 0.007614781614392996, 0.0039549521170556545, 0.006686769891530275, 0.013829546980559826, 0.01349323708564043, 0.00657450407743454, 0.004933499731123447, 0.012487287633121014, 0.0061518121510744095, 0.007459403946995735, 0.007760567124933004, 0.011331097222864628, 0.017806869000196457, 0.004878707230091095, 0.010672766715288162, 0.023872965946793556, 0.006534168496727943, 0.005101772490888834, 0.006156701594591141, 0.008046276867389679, 0.0058079976588487625, 0.010976520366966724, 0.006748933345079422, 0.009372240863740444, 0.007799916435033083, 0.009058886207640171, 0.035688307136297226, 0.013260492123663425, 0.043134886771440506, 0.012792587280273438, 0.004886460490524769, 0.012825079262256622, 0.008941485546529293, 0.009617562405765057, 0.036117613315582275, 0.010957042686641216, 0.010256352834403515, 0.00926422979682684, 0.01005171611905098, 0.007020479068160057, 0.028901634737849236, 0.014610967598855495, 0.0053705801256000996, 0.031146489083766937, 0.012789594940841198, 0.006921694148331881, 0.004443754907697439, 0.005523312836885452, 0.01604805327951908, 0.008310817182064056]","['[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]', 'C=CC#[N&X1]']","(5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 28, 29)","[0.017623187974095345, 0.004043071996420622, 0.006686769891530275, 0.01349323708564043, 0.004933499731123447, 0.007459403946995735, 0.011331097222864628, 0.023872965946793556, 0.006534168496727943, 0.008046276867389679, 0.006748933345079422, 0.009058886207640171, 0.0053705801256000996, 0.012789594940841198]","(0, 1, 2, 3, 4, 12, 13, 14, 20, 21, 22, 23, 24, 25, 26, 27, 30, 31, 32)","[0.005410277750343084, 0.014618190936744213, 0.004018756095319986, 0.005099120084196329, 0.004296069499105215, 0.017806869000196457, 0.004878707230091095, 0.010672766715288162, 0.013260492123663425, 0.012792587280273438, 0.004886460490524769, 0.008941485546529293, 0.036117613315582275, 0.010256352834403515, 0.01005171611905098, 0.007020479068160057, 0.004443754907697439, 0.005523312836885452, 0.008310817182064056]","[0.004018756095319986, 0.004043071996420622, 0.006686769891530275, 0.004933499731123447, 0.011331097222864628, 0.017806869000196457, 0.010672766715288162, 0.006534168496727943, 0.006748933345079422, 0.009058886207640171, 0.012792587280273438, 0.0053705801256000996, 0.012789594940841198, 0.005523312836885452, 0.008310817182064056]"
65,COc1ccc(C=C(C#N)C#N)cc1,"['C', 'O', 'c', '1', 'c', 'c', 'c', '(', 'C', '=', 'C', '(', 'C', '#', 'N', ')', 'C', '#', 'N', ')', 'c', 'c', '1']","[0.007542722392827272, 0.017909003421664238, 0.02711108885705471, 0.013109537772834301, 0.007860272191464901, 0.010118392296135426, 0.011963951401412487, 0.008702137507498264, 0.025636309757828712, 0.023142458871006966, 0.010709837079048157, 0.04123319312930107, 0.011928186751902103, 0.01809917949140072, 0.019862638786435127, 0.020007068291306496, 0.019417041912674904, 0.05041101574897766, 0.023900071159005165, 0.017413144931197166, 0.011953040026128292, 0.01281642634421587, 0.013138155452907085]",C=CC#[N&X1],"(6, 7, 8, 9, 10, 11)","[0.025636309757828712, 0.010709837079048157, 0.011928186751902103, 0.019862638786435127, 0.019417041912674904, 0.023900071159005165]","(0, 1, 2, 3, 4, 5, 12, 13)","[0.007542722392827272, 0.017909003421664238, 0.02711108885705471, 0.007860272191464901, 0.010118392296135426, 0.011963951401412487, 0.011953040026128292, 0.01281642634421587]","[0.013109537772834301, 0.008702137507498264, 0.023142458871006966, 0.04123319312930107, 0.01809917949140072, 0.020007068291306496, 0.05041101574897766, 0.017413144931197166, 0.013138155452907085]"
66,CC(C)(C)c1cc(/C=C(\C#N)C(N)=S)cc(C(C)(C)C)c1O,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'c', '1', 'c', 'c', '(', '/', 'C', '=', 'C', '(', '\\', 'C', '#', 'N', ')', 'C', '(', 'N', ')', '=', 'S', ')', 'c', 'c', '(', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'c', '1', 'O']","[0.01071981992572546, 0.007211883086711168, 0.01120483223348856, 0.01048348844051361, 0.010776870884001255, 0.009731545113027096, 0.008693885989487171, 0.013112961314618587, 0.009236644022166729, 0.006507535930722952, 0.007200255524367094, 0.006162246689200401, 0.012919674627482891, 0.007128559052944183, 0.024544840678572655, 0.033493079245090485, 0.005245459731668234, 0.013357285410165787, 0.005538975819945335, 0.010711479000747204, 0.024909337982535362, 0.017380516976118088, 0.011253410018980503, 0.016363168135285378, 0.02383577823638916, 0.019313199445605278, 0.010967991314828396, 0.020702285692095757, 0.028112204745411873, 0.028002187609672546, 0.0060233683325350285, 0.0066327862441539764, 0.010527345351874828, 0.0069120475091040134, 0.01143625471740961, 0.01388569176197052, 0.009863692335784435, 0.012937030754983425, 0.012151014059782028, 0.014097542501986027, 0.004441891331225634, 0.011102866381406784, 0.007207578048110008, 0.011593286879360676, 0.014261611737310886]",C=CC#[N&X1],"(7, 8, 9, 10)","[0.024544840678572655, 0.005245459731668234, 0.010711479000747204, 0.017380516976118088]","(0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)","[0.01071981992572546, 0.007211883086711168, 0.01048348844051361, 0.008693885989487171, 0.009236644022166729, 0.007200255524367094, 0.006162246689200401, 0.016363168135285378, 0.019313199445605278, 0.028112204745411873, 0.0060233683325350285, 0.0066327862441539764, 0.0069120475091040134, 0.01388569176197052, 0.012151014059782028, 0.004441891331225634, 0.007207578048110008, 0.014261611737310886]","[0.01120483223348856, 0.010776870884001255, 0.009731545113027096, 0.013112961314618587, 0.006507535930722952, 0.012919674627482891, 0.007128559052944183, 0.033493079245090485, 0.013357285410165787, 0.005538975819945335, 0.024909337982535362, 0.011253410018980503, 0.02383577823638916, 0.010967991314828396, 0.020702285692095757, 0.028002187609672546, 0.010527345351874828, 0.01143625471740961, 0.009863692335784435, 0.012937030754983425, 0.014097542501986027, 0.011102866381406784, 0.011593286879360676]"
67,NC(=S)C(=Cc1ccc(O)c(O)c1)C#N,"['N', 'C', '(', '=', 'S', ')', 'C', '(', '=', 'C', 'c', '1', 'c', 'c', 'c', '(', 'O', ')', 'c', '(', 'O', ')', 'c', '1', ')', 'C', '#', 'N']","[0.013338230550289154, 0.010003293864428997, 0.02310228906571865, 0.008869296871125698, 0.033868975937366486, 0.026614831760525703, 0.009285952895879745, 0.022717179730534554, 0.012408708222210407, 0.011715118773281574, 0.024959305301308632, 0.014368969947099686, 0.006780944764614105, 0.009316306561231613, 0.009757923893630505, 0.020511457696557045, 0.021101631224155426, 0.019218752160668373, 0.04098314419388771, 0.015357418917119503, 0.022743569687008858, 0.018513204529881477, 0.011427263729274273, 0.0077042486518621445, 0.012967047281563282, 0.00897152628749609, 0.030954090878367424, 0.017954716458916664]",C=CC#[N&X1],"(4, 3, 13, 14)","[0.009285952895879745, 0.011715118773281574, 0.00897152628749609, 0.017954716458916664]","(0, 1, 2, 5, 6, 7, 8, 9, 10, 11, 12)","[0.013338230550289154, 0.010003293864428997, 0.033868975937366486, 0.024959305301308632, 0.006780944764614105, 0.009316306561231613, 0.009757923893630505, 0.021101631224155426, 0.04098314419388771, 0.022743569687008858, 0.011427263729274273]","[0.02310228906571865, 0.008869296871125698, 0.026614831760525703, 0.022717179730534554, 0.012408708222210407, 0.014368969947099686, 0.020511457696557045, 0.019218752160668373, 0.015357418917119503, 0.018513204529881477, 0.0077042486518621445, 0.012967047281563282, 0.030954090878367424]"
68,N/C(C=C(C#N)C#N)=C(\C#N)c1cc(O)c(O)c(O)c1,"['N', '/', 'C', '(', 'C', '=', 'C', '(', 'C', '#', 'N', ')', 'C', '#', 'N', ')', '=', 'C', '(', '\\', 'C', '#', 'N', ')', 'c', '1', 'c', 'c', '(', 'O', ')', 'c', '(', 'O', ')', 'c', '(', 'O', ')', 'c', '1']","[0.010806000791490078, 0.03438213840126991, 0.010132345370948315, 0.008912941440939903, 0.01245101261883974, 0.015272650867700577, 0.006753513589501381, 0.02388954721391201, 0.008502104319632053, 0.013555996119976044, 0.013464819639921188, 0.012196236290037632, 0.010161320678889751, 0.04399725794792175, 0.012816990725696087, 0.009165069088339806, 0.010275568813085556, 0.006443149875849485, 0.01259581372141838, 0.006036894861608744, 0.008194484747946262, 0.02154296077787876, 0.0177480299025774, 0.010989349335432053, 0.007983465678989887, 0.006962472572922707, 0.009420645423233509, 0.00651799701154232, 0.017437009140849113, 0.012450209818780422, 0.015401292592287064, 0.024740353226661682, 0.012429840862751007, 0.01257523987442255, 0.0149959372356534, 0.02725410647690296, 0.011772721074521542, 0.013886324129998684, 0.014618734829127789, 0.010910418815910816, 0.008933383040130138]",C=CC#[N&X1],"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)","[0.010132345370948315, 0.01245101261883974, 0.006753513589501381, 0.008502104319632053, 0.013464819639921188, 0.010161320678889751, 0.012816990725696087, 0.006443149875849485, 0.008194484747946262, 0.0177480299025774]","(0, 11, 12, 13, 14, 15, 16, 17, 18, 19)","[0.010806000791490078, 0.007983465678989887, 0.009420645423233509, 0.00651799701154232, 0.012450209818780422, 0.024740353226661682, 0.01257523987442255, 0.02725410647690296, 0.013886324129998684, 0.010910418815910816]","[0.03438213840126991, 0.008912941440939903, 0.015272650867700577, 0.02388954721391201, 0.013555996119976044, 0.012196236290037632, 0.04399725794792175, 0.009165069088339806, 0.010275568813085556, 0.01259581372141838, 0.006036894861608744, 0.02154296077787876, 0.010989349335432053, 0.006962472572922707, 0.017437009140849113, 0.015401292592287064, 0.012429840862751007, 0.0149959372356534, 0.011772721074521542, 0.014618734829127789, 0.008933383040130138]"
69,CC(C)(C)c1cc(C=C(C#N)C#N)cc(C(C)(C)C)c1O,"['C', 'C', '(', 'C', ')', '(', 'C', ')', 'c', '1', 'c', 'c', '(', 'C', '=', 'C', '(', 'C', '#', 'N', ')', 'C', '#', 'N', ')', 'c', 'c', '(', 'C', '(', 'C', ')', '(', 'C', ')', 'C', ')', 'c', '1', 'O']","[0.010788883082568645, 0.007560392376035452, 0.012349128723144531, 0.010973636992275715, 0.012509104795753956, 0.010072538629174232, 0.009374497458338737, 0.016195978969335556, 0.009223167784512043, 0.007640565279871225, 0.006979655008763075, 0.009030968882143497, 0.006957115605473518, 0.015254896134138107, 0.01780727691948414, 0.00843389518558979, 0.03286413475871086, 0.009800468571484089, 0.016202101483941078, 0.01618865318596363, 0.01465056836605072, 0.0165618397295475, 0.04443530738353729, 0.01932474784553051, 0.013129650615155697, 0.008272594772279263, 0.008258647285401821, 0.013724966906011105, 0.008307778276503086, 0.012716338038444519, 0.014518103562295437, 0.011557760648429394, 0.012486235238611698, 0.012772754766047001, 0.016336213797330856, 0.0046871681697666645, 0.013725287280976772, 0.00787463691085577, 0.012100282125175, 0.01541005540639162]",C=CC#[N&X1],"(7, 8, 9, 10, 11, 12)","[0.015254896134138107, 0.00843389518558979, 0.009800468571484089, 0.01618865318596363, 0.0165618397295475, 0.01932474784553051]","(0, 1, 2, 3, 4, 5, 6, 13, 14, 15, 16, 17, 18, 19, 20)","[0.010788883082568645, 0.007560392376035452, 0.010973636992275715, 0.009374497458338737, 0.009223167784512043, 0.006979655008763075, 0.009030968882143497, 0.008272594772279263, 0.008258647285401821, 0.008307778276503086, 0.014518103562295437, 0.012772754766047001, 0.0046871681697666645, 0.00787463691085577, 0.01541005540639162]","[0.012349128723144531, 0.012509104795753956, 0.010072538629174232, 0.016195978969335556, 0.007640565279871225, 0.006957115605473518, 0.01780727691948414, 0.03286413475871086, 0.016202101483941078, 0.01465056836605072, 0.04443530738353729, 0.013129650615155697, 0.013724966906011105, 0.012716338038444519, 0.011557760648429394, 0.012486235238611698, 0.016336213797330856, 0.013725287280976772, 0.012100282125175]"
70,O[C@@H](/C=C/[C@H]1[C@@H](F)C[C@H](O)[C@@H]1C/C=C\CCCC(O)=O)C1Cc2c(cccc2)C1,"['O', '[C@@H]', '(', '/', 'C', '=', 'C', '/', '[C@H]', '1', '[C@@H]', '(', 'F', ')', 'C', '[C@H]', '(', 'O', ')', '[C@@H]', '1', 'C', '/', 'C', '=', 'C', '\\', 'C', 'C', 'C', 'C', '(', 'O', ')', '=', 'O', ')', 'C', '1', 'C', 'c', '2', 'c', '(', 'c', 'c', 'c', 'c', '2', ')', 'C', '1']","[0.004782263655215502, 0.0060648065991699696, 0.014133035205304623, 0.005627030041068792, 0.021125907078385353, 0.015019490383565426, 0.009010436944663525, 0.015366488136351109, 0.010368571616709232, 0.0066187116317451, 0.006851236801594496, 0.005777402315288782, 0.00841494556516409, 0.00548599986359477, 0.004934585653245449, 0.012261397205293179, 0.008931627497076988, 0.020646387711167336, 0.006959124933928251, 0.010352331213653088, 0.005944499745965004, 0.016696767881512642, 0.009676973335444927, 0.013867362402379513, 0.010169213637709618, 0.007633668836206198, 0.007403475698083639, 0.00798711832612753, 0.012545573525130749, 0.012406270951032639, 0.007077502086758614, 0.008180416189134121, 0.017214665189385414, 0.007184138055890799, 0.01560467854142189, 0.010053534992039204, 0.007577797397971153, 0.007284001912921667, 0.010425557382404804, 0.007087398786097765, 0.021510720252990723, 0.04849438741803169, 0.019140953198075294, 0.01572497934103012, 0.009412235580384731, 0.008125404827296734, 0.011378658004105091, 0.014094731770455837, 0.031025433912873268, 0.014309566468000412, 0.006301612127572298, 0.010616299696266651]","['c12c(-,:cccc1)-[#6]-[#6]-[#6]-2', '[*&!$(a)&!$(C=C)&!$(C#C)][C&X4][F,Cl,Br,I]']","(4, 5, 6, 7, 20, 21, 22, 23, 24, 25, 26, 27, 28)","[0.010368571616709232, 0.006851236801594496, 0.00841494556516409, 0.004934585653245449, 0.007284001912921667, 0.007087398786097765, 0.021510720252990723, 0.019140953198075294, 0.009412235580384731, 0.008125404827296734, 0.011378658004105091, 0.014094731770455837, 0.006301612127572298]","(0, 1, 2, 3, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)","[0.004782263655215502, 0.0060648065991699696, 0.021125907078385353, 0.009010436944663525, 0.012261397205293179, 0.020646387711167336, 0.010352331213653088, 0.016696767881512642, 0.013867362402379513, 0.007633668836206198, 0.00798711832612753, 0.012545573525130749, 0.012406270951032639, 0.007077502086758614, 0.017214665189385414, 0.010053534992039204]","[0.021125907078385353, 0.009010436944663525, 0.006851236801594496, 0.004934585653245449, 0.020646387711167336, 0.016696767881512642, 0.007633668836206198, 0.012406270951032639, 0.017214665189385414, 0.007284001912921667, 0.021510720252990723, 0.009412235580384731, 0.011378658004105091]"
71,O=C1/C(=C/c2cccs2)CC/C1=C\c1cscc1,"['O', '=', 'C', '1', '/', 'C', '(', '=', 'C', '/', 'c', '2', 'c', 'c', 'c', 's', '2', ')', 'C', 'C', '/', 'C', '1', '=', 'C', '\\', 'c', '1', 'c', 's', 'c', 'c', '1']","[0.00705678341910243, 0.008525392040610313, 0.010790958069264889, 0.014219705015420914, 0.014747820794582367, 0.010334366001188755, 0.019223162904381752, 0.01293296366930008, 0.015356801450252533, 0.05060873553156853, 0.016019316390156746, 0.05356445536017418, 0.015745649114251137, 0.01363008376210928, 0.014203973114490509, 0.014041355811059475, 0.045309361070394516, 0.014632984064519405, 0.007521854247897863, 0.01978246308863163, 0.021141624078154564, 0.015564575791358948, 0.01883041299879551, 0.00910878274589777, 0.01088161300867796, 0.01267246250063181, 0.011329635977745056, 0.00959183368831873, 0.009606999345123768, 0.010586581192910671, 0.015022244304418564, 0.007979131303727627, 0.007820302620530128]","[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]","(0, 1, 2, 3, 11, 12)","[0.00705678341910243, 0.010790958069264889, 0.010334366001188755, 0.015356801450252533, 0.015564575791358948, 0.01088161300867796]","(4, 5, 6, 7, 8, 9, 10, 13, 14, 15, 16, 17)","[0.016019316390156746, 0.015745649114251137, 0.01363008376210928, 0.014203973114490509, 0.014041355811059475, 0.007521854247897863, 0.01978246308863163, 0.011329635977745056, 0.009606999345123768, 0.010586581192910671, 0.015022244304418564, 0.007979131303727627]","[0.008525392040610313, 0.014219705015420914, 0.014747820794582367, 0.019223162904381752, 0.01293296366930008, 0.05060873553156853, 0.05356445536017418, 0.045309361070394516, 0.014632984064519405, 0.021141624078154564, 0.01883041299879551, 0.00910878274589777, 0.01267246250063181, 0.00959183368831873, 0.007820302620530128]"
72,CC(=C)C1CCC(C(O)=O)=CC1,"['C', 'C', '(', '=', 'C', ')', 'C', '1', 'C', 'C', 'C', '(', 'C', '(', 'O', ')', '=', 'O', ')', '=', 'C', 'C', '1']","[0.012061658315360546, 0.01488471869379282, 0.017945049330592155, 0.01402945164591074, 0.01845216006040573, 0.013772868551313877, 0.010928746312856674, 0.013132795691490173, 0.00947644654661417, 0.01861581765115261, 0.008635688573122025, 0.0164332315325737, 0.011256217956542969, 0.01764402538537979, 0.03704831376671791, 0.010966564528644085, 0.044630806893110275, 0.015899432823061943, 0.013681001961231232, 0.011072110384702682, 0.01319026667624712, 0.022330796346068382, 0.01606270670890808]",[C&X3]=[C&X3][C&X3](=[O&X1])[O&X2&H1],"(10, 6, 7, 9, 8)","[0.008635688573122025, 0.011256217956542969, 0.03704831376671791, 0.015899432823061943, 0.01319026667624712]","(0, 1, 2, 3, 4, 5, 11)","[0.012061658315360546, 0.01488471869379282, 0.01845216006040573, 0.010928746312856674, 0.00947644654661417, 0.01861581765115261, 0.022330796346068382]","[0.017945049330592155, 0.01402945164591074, 0.013772868551313877, 0.013132795691490173, 0.0164332315325737, 0.01764402538537979, 0.010966564528644085, 0.044630806893110275, 0.013681001961231232, 0.011072110384702682, 0.01606270670890808]"
73,C/C(C=C)=C\[C@@]1(C)SC(=O)C(C)=C1O,"['C', '/', 'C', '(', 'C', '=', 'C', ')', '=', 'C', '\\', '[C@@]', '1', '(', 'C', ')', 'S', 'C', '(', '=', 'O', ')', 'C', '(', 'C', ')', '=', 'C', '1', 'O']","[0.011639746837317944, 0.0188722126185894, 0.011995834298431873, 0.014127562753856182, 0.018454834818840027, 0.025121020153164864, 0.013476413674652576, 0.012395157478749752, 0.009061610326170921, 0.010023534297943115, 0.013253431767225266, 0.026218323037028313, 0.014175648801028728, 0.00993428472429514, 0.009162546135485172, 0.012229296378791332, 0.0370500348508358, 0.011350080370903015, 0.01930019073188305, 0.011477786116302013, 0.021464750170707703, 0.0161838848143816, 0.010288160294294357, 0.03274000436067581, 0.014502320438623428, 0.011096364818513393, 0.012043670751154423, 0.010805671103298664, 0.013559880666434765, 0.019427362829446793]","[#6]=[#6][C&X3](=[O&X1])-,:[!#1&!$([O&H1])]","(12, 10, 8, 9, 7)","[0.0370500348508358, 0.011350080370903015, 0.021464750170707703, 0.010288160294294357, 0.010805671103298664]","(0, 1, 2, 3, 4, 5, 6, 11, 13)","[0.011639746837317944, 0.011995834298431873, 0.018454834818840027, 0.013476413674652576, 0.010023534297943115, 0.026218323037028313, 0.009162546135485172, 0.014502320438623428, 0.019427362829446793]","[0.0188722126185894, 0.014127562753856182, 0.025121020153164864, 0.012395157478749752, 0.009061610326170921, 0.013253431767225266, 0.014175648801028728, 0.00993428472429514, 0.012229296378791332, 0.01930019073188305, 0.011477786116302013, 0.0161838848143816, 0.03274000436067581, 0.011096364818513393, 0.012043670751154423, 0.013559880666434765]"
